building_type,hour,clf,source
office,1,0.06,Sri Lanka adjusted note pp.5-6
office,2,0.05,Sri Lanka adjusted note pp.5-6
office,3,0.05,Sri Lanka adjusted note pp.5-6
office,4,0.05,Sri Lanka adjusted note pp.5-6
office,5,0.04,Sri Lanka adjusted note pp.5-6
office,6,0.04,Sri Lanka adjusted note pp.5-6
office,7,0.03,Sri Lanka adjusted note pp.5-6
office,8,0.03,Sri Lanka adjusted note pp.5-6
office,9,0.03,Sri Lanka adjusted note pp.5-6
office,10,0.72,Sri Lanka adjusted note pp.5-6
office,11,0.8,Sri Lanka adjusted note pp.5-6
office,12,0.84,Sri Lanka adjusted note pp.5-6
office,13,0.87,Sri Lanka adjusted note pp.5-6
office,14,0.88,Sri Lanka adjusted note pp.5-6
office,15,0.89,Sri Lanka adjusted note pp.5-6
office,16,0.9,Sri Lanka adjusted note pp.5-6
office,17,0.91,Sri Lanka adjusted note pp.5-6
office,18,0.23,Sri Lanka adjusted note pp.5-6
office,19,0.15,Sri Lanka adjusted note pp.5-6
office,20,0.11,Sri Lanka adjusted note pp.5-6
office,21,0.09,Sri Lanka adjusted note pp.5-6
office,22,0.08,Sri Lanka adjusted note pp.5-6
office,23,0.07,Sri Lanka adjusted note pp.5-6
office,24,0.07,Sri Lanka adjusted note pp.5-6
hotel,1,0.91,Sri Lanka adjusted note pp.5-6
hotel,2,0.92,Sri Lanka adjusted note pp.5-6
hotel,3,0.92,Sri Lanka adjusted note pp.5-6
hotel,4,0.93,Sri Lanka adjusted note pp.5-6
hotel,5,0.94,Sri Lanka adjusted note pp.5-6
hotel,6,0.94,Sri Lanka adjusted note pp.5-6
hotel,7,0.95,Sri Lanka adjusted note pp.5-6
hotel,8,0.95,Sri Lanka adjusted note pp.5-6
hotel,9,0.96,Sri Lanka adjusted note pp.5-6
hotel,10,0.96,Sri Lanka adjusted note pp.5-6
hotel,11,0.27,Sri Lanka adjusted note pp.5-6
hotel,12,0.19,Sri Lanka adjusted note pp.5-6
hotel,13,0.15,Sri Lanka adjusted note pp.5-6
hotel,14,0.13,Sri Lanka adjusted note pp.5-6
hotel,15,0.11,Sri Lanka adjusted note pp.5-6
hotel,16,0.1,Sri Lanka adjusted note pp.5-6
hotel,17,0.09,Sri Lanka adjusted note pp.5-6
hotel,18,0.08,Sri Lanka adjusted note pp.5-6
hotel,19,0.08,Sri Lanka adjusted note pp.5-6
hotel,20,0.07,Sri Lanka adjusted note pp.5-6
hotel,21,0.75,Sri Lanka adjusted note pp.5-6
hotel,22,0.84,Sri Lanka adjusted note pp.5-6
hotel,23,0.87,Sri Lanka adjusted note pp.5-6
hotel,24,0.89,Sri Lanka adjusted note pp.5-6
restaurant,1,0.27,Sri Lanka adjusted note pp.5-6
restaurant,2,0.19,Sri Lanka adjusted note pp.5-6
restaurant,3,0.15,Sri Lanka adjusted note pp.5-6
restaurant,4,0.13,Sri Lanka adjusted note pp.5-6
restaurant,5,0.11,Sri Lanka adjusted note pp.5-6
restaurant,6,0.1,Sri Lanka adjusted note pp.5-6
restaurant,7,0.09,Sri Lanka adjusted note pp.5-6
restaurant,8,0.08,Sri Lanka adjusted note pp.5-6
restaurant,9,0.08,Sri Lanka adjusted note pp.5-6
restaurant,10,0.07,Sri Lanka adjusted note pp.5-6
restaurant,11,0.75,Sri Lanka adjusted note pp.5-6
restaurant,12,0.84,Sri Lanka adjusted note pp.5-6
restaurant,13,0.87,Sri Lanka adjusted note pp.5-6
restaurant,14,0.89,Sri Lanka adjusted note pp.5-6
restaurant,15,0.91,Sri Lanka adjusted note pp.5-6
restaurant,16,0.92,Sri Lanka adjusted note pp.5-6
restaurant,17,0.92,Sri Lanka adjusted note pp.5-6
restaurant,18,0.93,Sri Lanka adjusted note pp.5-6
restaurant,19,0.94,Sri Lanka adjusted note pp.5-6
restaurant,20,0.94,Sri Lanka adjusted note pp.5-6
restaurant,21,0.95,Sri Lanka adjusted note pp.5-6
restaurant,22,0.95,Sri Lanka adjusted note pp.5-6
restaurant,23,0.96,Sri Lanka adjusted note pp.5-6
restaurant,24,0.96,Sri Lanka adjusted note pp.5-6
