building_type,hour,clf,source
office,1,0.08,Sri Lanka adjusted note pp.4-5
office,2,0.06,Sri Lanka adjusted note pp.4-5
office,3,0.05,Sri Lanka adjusted note pp.4-5
office,4,0.04,Sri Lanka adjusted note pp.4-5
office,5,0.04,Sri Lanka adjusted note pp.4-5
office,6,0.03,Sri Lanka adjusted note pp.4-5
office,7,0.02,Sri Lanka adjusted note pp.4-5
office,8,0.02,Sri Lanka adjusted note pp.4-5
office,9,0.02,Sri Lanka adjusted note pp.4-5
office,10,0.61,Sri Lanka adjusted note pp.4-5
office,11,0.69,Sri Lanka adjusted note pp.4-5
office,12,0.75,Sri Lanka adjusted note pp.4-5
office,13,0.79,Sri Lanka adjusted note pp.4-5
office,14,0.83,Sri Lanka adjusted note pp.4-5
office,15,0.86,Sri Lanka adjusted note pp.4-5
office,16,0.89,Sri Lanka adjusted note pp.4-5
office,17,0.91,Sri Lanka adjusted note pp.4-5
office,18,0.32,Sri Lanka adjusted note pp.4-5
office,19,0.26,Sri Lanka adjusted note pp.4-5
office,20,0.21,Sri Lanka adjusted note pp.4-5
office,21,0.17,Sri Lanka adjusted note pp.4-5
office,22,0.14,Sri Lanka adjusted note pp.4-5
office,23,0.11,Sri Lanka adjusted note pp.4-5
office,24,0.09,Sri Lanka adjusted note pp.4-5
hotel,1,0.85,Sri Lanka adjusted note pp.4-5
hotel,2,0.88,Sri Lanka adjusted note pp.4-5
hotel,3,0.9,Sri Lanka adjusted note pp.4-5
hotel,4,0.92,Sri Lanka adjusted note pp.4-5
hotel,5,0.93,Sri Lanka adjusted note pp.4-5
hotel,6,0.94,Sri Lanka adjusted note pp.4-5
hotel,7,0.95,Sri Lanka adjusted note pp.4-5
hotel,8,0.96,Sri Lanka adjusted note pp.4-5
hotel,9,0.97,Sri Lanka adjusted note pp.4-5
hotel,10,0.97,Sri Lanka adjusted note pp.4-5
hotel,11,0.38,Sri Lanka adjusted note pp.4-5
hotel,12,0.3,Sri Lanka adjusted note pp.4-5
hotel,13,0.25,Sri Lanka adjusted note pp.4-5
hotel,14,0.2,Sri Lanka adjusted note pp.4-5
hotel,15,0.17,Sri Lanka adjusted note pp.4-5
hotel,16,0.14,Sri Lanka adjusted note pp.4-5
hotel,17,0.11,Sri Lanka adjusted note pp.4-5
hotel,18,0.09,Sri Lanka adjusted note pp.4-5
hotel,19,0.08,Sri Lanka adjusted note pp.4-5
hotel,20,0.06,Sri Lanka adjusted note pp.4-5
hotel,21,0.65,Sri Lanka adjusted note pp.4-5
hotel,22,0.72,Sri Lanka adjusted note pp.4-5
hotel,23,0.77,Sri Lanka adjusted note pp.4-5
hotel,24,0.82,Sri Lanka adjusted note pp.4-5
restaurant,1,0.38,Sri Lanka adjusted note pp.4-5
restaurant,2,0.3,Sri Lanka adjusted note pp.4-5
restaurant,3,0.25,Sri Lanka adjusted note pp.4-5
restaurant,4,0.2,Sri Lanka adjusted note pp.4-5
restaurant,5,0.17,Sri Lanka adjusted note pp.4-5
restaurant,6,0.14,Sri Lanka adjusted note pp.4-5
restaurant,7,0.11,Sri Lanka adjusted note pp.4-5
restaurant,8,0.09,Sri Lanka adjusted note pp.4-5
restaurant,9,0.08,Sri Lanka adjusted note pp.4-5
restaurant,10,0.06,Sri Lanka adjusted note pp.4-5
restaurant,11,0.65,Sri Lanka adjusted note pp.4-5
restaurant,12,0.72,Sri Lanka adjusted note pp.4-5
restaurant,13,0.77,Sri Lanka adjusted note pp.4-5
restaurant,14,0.82,Sri Lanka adjusted note pp.4-5
restaurant,15,0.85,Sri Lanka adjusted note pp.4-5
restaurant,16,0.88,Sri Lanka adjusted note pp.4-5
restaurant,17,0.9,Sri Lanka adjusted note pp.4-5
restaurant,18,0.92,Sri Lanka adjusted note pp.4-5
restaurant,19,0.93,Sri Lanka adjusted note pp.4-5
restaurant,20,0.94,Sri Lanka adjusted note pp.4-5
restaurant,21,0.95,Sri Lanka adjusted note pp.4-5
restaurant,22,0.96,Sri Lanka adjusted note pp.4-5
restaurant,23,0.97,Sri Lanka adjusted note pp.4-5
restaurant,24,0.97,Sri Lanka adjusted note pp.4-5
