hour,cltd_k,source
1,3.1,Sri Lanka adjusted note p.4
2,2.1,Sri Lanka adjusted note p.4
3,1.1,Sri Lanka adjusted note p.4
4,1.1,Sri Lanka adjusted note p.4
5,1.1,Sri Lanka adjusted note p.4
6,1.1,Sri Lanka adjusted note p.4
7,1.1,Sri Lanka adjusted note p.4
8,2.1,Sri Lanka adjusted note p.4
9,3.1,Sri Lanka adjusted note p.4
10,4.1,Sri Lanka adjusted note p.4
11,6.1,Sri Lanka adjusted note p.4
12,7.1,Sri Lanka adjusted note p.4
13,9.1,Sri Lanka adjusted note p.4
14,9.1,Sri Lanka adjusted note p.4
15,10.1,Sri Lanka adjusted note p.4
16,10.1,Sri Lanka adjusted note p.4
17,9.1,Sri Lanka adjusted note p.4
18,9.1,Sri Lanka adjusted note p.4
19,8.1,Sri Lanka adjusted note p.4
20,6.1,Sri Lanka adjusted note p.4
21,5.1,Sri Lanka adjusted note p.4
22,4.1,Sri Lanka adjusted note p.4
23,4.1,Sri Lanka adjusted note p.4
24,3.1,Sri Lanka adjusted note p.4
