roof_type_code,hour,cltd_k,source
R1,1,1.1,Sri Lanka adjusted note p.1
R1,2,0.1,Sri Lanka adjusted note p.1
R1,3,-0.9,Sri Lanka adjusted note p.1
R1,4,-1.9,Sri Lanka adjusted note p.1
R1,5,-1.9,Sri Lanka adjusted note p.1
R1,6,-1.9,Sri Lanka adjusted note p.1
R1,7,1.1,Sri Lanka adjusted note p.1
R1,8,8.1,Sri Lanka adjusted note p.1
R1,9,17.1,Sri Lanka adjusted note p.1
R1,10,26.1,Sri Lanka adjusted note p.1
R1,11,34.1,Sri Lanka adjusted note p.1
R1,12,42.1,Sri Lanka adjusted note p.1
R1,13,47.1,Sri Lanka adjusted note p.1
R1,14,50.1,Sri Lanka adjusted note p.1
R1,15,50.1,Sri Lanka adjusted note p.1
R1,16,47.1,Sri Lanka adjusted note p.1
R1,17,42.1,Sri Lanka adjusted note p.1
R1,18,34.1,Sri Lanka adjusted note p.1
R1,19,25.1,Sri Lanka adjusted note p.1
R1,20,15.1,Sri Lanka adjusted note p.1
R1,21,9.1,Sri Lanka adjusted note p.1
R1,22,6.1,Sri Lanka adjusted note p.1
R1,23,4.1,Sri Lanka adjusted note p.1
R1,24,2.1,Sri Lanka adjusted note p.1
R2,1,2.1,Sri Lanka adjusted note p.1
R2,2,1.1,Sri Lanka adjusted note p.1
R2,3,0.1,Sri Lanka adjusted note p.1
R2,4,-0.9,Sri Lanka adjusted note p.1
R2,5,-1.9,Sri Lanka adjusted note p.1
R2,6,-1.9,Sri Lanka adjusted note p.1
R2,7,-0.9,Sri Lanka adjusted note p.1
R2,8,3.1,Sri Lanka adjusted note p.1
R2,9,10.1,Sri Lanka adjusted note p.1
R2,10,19.1,Sri Lanka adjusted note p.1
R2,11,28.1,Sri Lanka adjusted note p.1
R2,12,35.1,Sri Lanka adjusted note p.1
R2,13,42.1,Sri Lanka adjusted note p.1
R2,14,47.1,Sri Lanka adjusted note p.1
R2,15,49.1,Sri Lanka adjusted note p.1
R2,16,48.1,Sri Lanka adjusted note p.1
R2,17,45.1,Sri Lanka adjusted note p.1
R2,18,40.1,Sri Lanka adjusted note p.1
R2,19,32.1,Sri Lanka adjusted note p.1
R2,20,23.1,Sri Lanka adjusted note p.1
R2,21,15.1,Sri Lanka adjusted note p.1
R2,22,9.1,Sri Lanka adjusted note p.1
R2,23,6.1,Sri Lanka adjusted note p.1
R2,24,4.1,Sri Lanka adjusted note p.1
R3,1,8.1,Sri Lanka adjusted note p.1
R3,2,5.1,Sri Lanka adjusted note p.1
R3,3,4.1,Sri Lanka adjusted note p.1
R3,4,2.1,Sri Lanka adjusted note p.1
R3,5,1.1,Sri Lanka adjusted note p.1
R3,6,0.1,Sri Lanka adjusted note p.1
R3,7,1.1,Sri Lanka adjusted note p.1
R3,8,4.1,Sri Lanka adjusted note p.1
R3,9,8.1,Sri Lanka adjusted note p.1
R3,10,14.1,Sri Lanka adjusted note p.1
R3,11,20.1,Sri Lanka adjusted note p.1
R3,12,27.1,Sri Lanka adjusted note p.1
R3,13,33.1,Sri Lanka adjusted note p.1
R3,14,38.1,Sri Lanka adjusted note p.1
R3,15,41.1,Sri Lanka adjusted note p.1
R3,16,42.1,Sri Lanka adjusted note p.1
R3,17,42.1,Sri Lanka adjusted note p.1
R3,18,38.1,Sri Lanka adjusted note p.1
R3,19,34.1,Sri Lanka adjusted note p.1
R3,20,28.1,Sri Lanka adjusted note p.1
R3,21,22.1,Sri Lanka adjusted note p.1
R3,22,18.1,Sri Lanka adjusted note p.1
R3,23,14.1,Sri Lanka adjusted note p.1
R3,24,10.1,Sri Lanka adjusted note p.1
R4,1,10.1,Sri Lanka adjusted note p.1
R4,2,7.1,Sri Lanka adjusted note p.1
R4,3,5.1,Sri Lanka adjusted note p.1
R4,4,3.1,Sri Lanka adjusted note p.1
R4,5,2.1,Sri Lanka adjusted note p.1
R4,6,0.1,Sri Lanka adjusted note p.1
R4,7,-0.9,Sri Lanka adjusted note p.1
R4,8,-0.9,Sri Lanka adjusted note p.1
R4,9,1.1,Sri Lanka adjusted note p.1
R4,10,5.1,Sri Lanka adjusted note p.1
R4,11,10.1,Sri Lanka adjusted note p.1
R4,12,17.1,Sri Lanka adjusted note p.1
R4,13,24.1,Sri Lanka adjusted note p.1
R4,14,31.1,Sri Lanka adjusted note p.1
R4,15,37.1,Sri Lanka adjusted note p.1
R4,16,42.1,Sri Lanka adjusted note p.1
R4,17,44.1,Sri Lanka adjusted note p.1
R4,18,44.1,Sri Lanka adjusted note p.1
R4,19,42.1,Sri Lanka adjusted note p.1
R4,20,38.1,Sri Lanka adjusted note p.1
R4,21,32.1,Sri Lanka adjusted note p.1
R4,22,26.1,Sri Lanka adjusted note p.1
R4,23,20.1,Sri Lanka adjusted note p.1
R4,24,14.1,Sri Lanka adjusted note p.1
