orientation,hour,scl_w_m2,source
N,1,20.8,Sri Lanka adjusted note pp.3-4
N,2,20.8,Sri Lanka adjusted note pp.3-4
N,3,16.9,Sri Lanka adjusted note pp.3-4
N,4,16.9,Sri Lanka adjusted note pp.3-4
N,5,16.9,Sri Lanka adjusted note pp.3-4
N,6,98.8,Sri Lanka adjusted note pp.3-4
N,7,93.6,Sri Lanka adjusted note pp.3-4
N,8,98.8,Sri Lanka adjusted note pp.3-4
N,9,110.5,Sri Lanka adjusted note pp.3-4
N,10,123.5,Sri Lanka adjusted note pp.3-4
N,11,135.2,Sri Lanka adjusted note pp.3-4
N,12,139.1,Sri Lanka adjusted note pp.3-4
N,13,143,Sri Lanka adjusted note pp.3-4
N,14,139.1,Sri Lanka adjusted note pp.3-4
N,15,131.3,Sri Lanka adjusted note pp.3-4
N,16,118.3,Sri Lanka adjusted note pp.3-4
N,17,118.3,Sri Lanka adjusted note pp.3-4
N,18,139.1,Sri Lanka adjusted note pp.3-4
N,19,57.2,Sri Lanka adjusted note pp.3-4
N,20,41.6,Sri Lanka adjusted note pp.3-4
N,21,32.5,Sri Lanka adjusted note pp.3-4
N,22,28.6,Sri Lanka adjusted note pp.3-4
N,23,24.7,Sri Lanka adjusted note pp.3-4
N,24,24.7,Sri Lanka adjusted note pp.3-4
NE,1,26.4,Sri Lanka adjusted note pp.3-4
NE,2,22.8,Sri Lanka adjusted note pp.3-4
NE,3,22.8,Sri Lanka adjusted note pp.3-4
NE,4,19.2,Sri Lanka adjusted note pp.3-4
NE,5,22.8,Sri Lanka adjusted note pp.3-4
NE,6,283.2,Sri Lanka adjusted note pp.3-4
NE,7,400.8,Sri Lanka adjusted note pp.3-4
NE,8,404.4,Sri Lanka adjusted note pp.3-4
NE,9,332.4,Sri Lanka adjusted note pp.3-4
NE,10,230.4,Sri Lanka adjusted note pp.3-4
NE,11,184.8,Sri Lanka adjusted note pp.3-4
NE,12,177.6,Sri Lanka adjusted note pp.3-4
NE,13,170.4,Sri Lanka adjusted note pp.3-4
NE,14,162,Sri Lanka adjusted note pp.3-4
NE,15,151.2,Sri Lanka adjusted note pp.3-4
NE,16,135.6,Sri Lanka adjusted note pp.3-4
NE,17,117.6,Sri Lanka adjusted note pp.3-4
NE,18,94.8,Sri Lanka adjusted note pp.3-4
NE,19,60,Sri Lanka adjusted note pp.3-4
NE,20,49.2,Sri Lanka adjusted note pp.3-4
NE,21,42,Sri Lanka adjusted note pp.3-4
NE,22,38.4,Sri Lanka adjusted note pp.3-4
NE,23,33.6,Sri Lanka adjusted note pp.3-4
NE,24,30,Sri Lanka adjusted note pp.3-4
E,1,28,Sri Lanka adjusted note pp.3-4
E,2,25,Sri Lanka adjusted note pp.3-4
E,3,25,Sri Lanka adjusted note pp.3-4
E,4,22,Sri Lanka adjusted note pp.3-4
E,5,25,Sri Lanka adjusted note pp.3-4
E,6,261,Sri Lanka adjusted note pp.3-4
E,7,410,Sri Lanka adjusted note pp.3-4
E,8,466,Sri Lanka adjusted note pp.3-4
E,9,457,Sri Lanka adjusted note pp.3-4
E,10,391,Sri Lanka adjusted note pp.3-4
E,11,280,Sri Lanka adjusted note pp.3-4
E,12,195,Sri Lanka adjusted note pp.3-4
E,13,176,Sri Lanka adjusted note pp.3-4
E,14,164,Sri Lanka adjusted note pp.3-4
E,15,148,Sri Lanka adjusted note pp.3-4
E,16,135,Sri Lanka adjusted note pp.3-4
E,17,117,Sri Lanka adjusted note pp.3-4
E,18,95,Sri Lanka adjusted note pp.3-4
E,19,63,Sri Lanka adjusted note pp.3-4
E,20,54,Sri Lanka adjusted note pp.3-4
E,21,47,Sri Lanka adjusted note pp.3-4
E,22,41,Sri Lanka adjusted note pp.3-4
E,23,38,Sri Lanka adjusted note pp.3-4
E,24,35,Sri Lanka adjusted note pp.3-4
SE,1,18.2,Sri Lanka adjusted note pp.3-4
SE,2,16.25,Sri Lanka adjusted note pp.3-4
SE,3,14.3,Sri Lanka adjusted note pp.3-4
SE,4,12.35,Sri Lanka adjusted note pp.3-4
SE,5,12.35,Sri Lanka adjusted note pp.3-4
SE,6,92.3,Sri Lanka adjusted note pp.3-4
SE,7,167.7,Sri Lanka adjusted note pp.3-4
SE,8,219.05,Sri Lanka adjusted note pp.3-4
SE,9,247.65,Sri Lanka adjusted note pp.3-4
SE,10,247.65,Sri Lanka adjusted note pp.3-4
SE,11,219.05,Sri Lanka adjusted note pp.3-4
SE,12,167.7,Sri Lanka adjusted note pp.3-4
SE,13,120.9,Sri Lanka adjusted note pp.3-4
SE,14,104.65,Sri Lanka adjusted note pp.3-4
SE,15,96.2,Sri Lanka adjusted note pp.3-4
SE,16,85.8,Sri Lanka adjusted note pp.3-4
SE,17,73.45,Sri Lanka adjusted note pp.3-4
SE,18,59.15,Sri Lanka adjusted note pp.3-4
SE,19,39,Sri Lanka adjusted note pp.3-4
SE,20,32.5,Sri Lanka adjusted note pp.3-4
SE,21,28.6,Sri Lanka adjusted note pp.3-4
SE,22,26.65,Sri Lanka adjusted note pp.3-4
SE,23,22.75,Sri Lanka adjusted note pp.3-4
SE,24,20.8,Sri Lanka adjusted note pp.3-4
S,1,8.8,Sri Lanka adjusted note pp.3-4
S,2,8.8,Sri Lanka adjusted note pp.3-4
S,3,7.6,Sri Lanka adjusted note pp.3-4
S,4,6.4,Sri Lanka adjusted note pp.3-4
S,5,6.4,Sri Lanka adjusted note pp.3-4
S,6,15.2,Sri Lanka adjusted note pp.3-4
S,7,22.8,Sri Lanka adjusted note pp.3-4
S,8,28.8,Sri Lanka adjusted note pp.3-4
S,9,45.2,Sri Lanka adjusted note pp.3-4
S,10,68,Sri Lanka adjusted note pp.3-4
S,11,88.4,Sri Lanka adjusted note pp.3-4
S,12,99.6,Sri Lanka adjusted note pp.3-4
S,13,99.6,Sri Lanka adjusted note pp.3-4
S,14,88.4,Sri Lanka adjusted note pp.3-4
S,15,68,Sri Lanka adjusted note pp.3-4
S,16,50.4,Sri Lanka adjusted note pp.3-4
S,17,41.6,Sri Lanka adjusted note pp.3-4
S,18,32.8,Sri Lanka adjusted note pp.3-4
S,19,20,Sri Lanka adjusted note pp.3-4
S,20,16.4,Sri Lanka adjusted note pp.3-4
S,21,15.2,Sri Lanka adjusted note pp.3-4
S,22,12.8,Sri Lanka adjusted note pp.3-4
S,23,11.2,Sri Lanka adjusted note pp.3-4
S,24,10,Sri Lanka adjusted note pp.3-4
SW,1,17.6,Sri Lanka adjusted note pp.3-4
SW,2,15.2,Sri Lanka adjusted note pp.3-4
SW,3,14,Sri Lanka adjusted note pp.3-4
SW,4,12.8,Sri Lanka adjusted note pp.3-4
SW,5,11.2,Sri Lanka adjusted note pp.3-4
SW,6,18.8,Sri Lanka adjusted note pp.3-4
SW,7,26.4,Sri Lanka adjusted note pp.3-4
SW,8,32.8,Sri Lanka adjusted note pp.3-4
SW,9,36.4,Sri Lanka adjusted note pp.3-4
SW,10,41.6,Sri Lanka adjusted note pp.3-4
SW,11,45.2,Sri Lanka adjusted note pp.3-4
SW,12,72,Sri Lanka adjusted note pp.3-4
SW,13,108.4,Sri Lanka adjusted note pp.3-4
SW,14,138.8,Sri Lanka adjusted note pp.3-4
SW,15,156.4,Sri Lanka adjusted note pp.3-4
SW,16,157.6,Sri Lanka adjusted note pp.3-4
SW,17,140,Sri Lanka adjusted note pp.3-4
SW,18,100.8,Sri Lanka adjusted note pp.3-4
SW,19,46.8,Sri Lanka adjusted note pp.3-4
SW,20,35.2,Sri Lanka adjusted note pp.3-4
SW,21,28.8,Sri Lanka adjusted note pp.3-4
SW,22,25.2,Sri Lanka adjusted note pp.3-4
SW,23,21.6,Sri Lanka adjusted note pp.3-4
SW,24,18.8,Sri Lanka adjusted note pp.3-4
W,1,54,Sri Lanka adjusted note pp.3-4
W,2,47,Sri Lanka adjusted note pp.3-4
W,3,41,Sri Lanka adjusted note pp.3-4
W,4,38,Sri Lanka adjusted note pp.3-4
W,5,35,Sri Lanka adjusted note pp.3-4
W,6,54,Sri Lanka adjusted note pp.3-4
W,7,69,Sri Lanka adjusted note pp.3-4
W,8,85,Sri Lanka adjusted note pp.3-4
W,9,98,Sri Lanka adjusted note pp.3-4
W,10,107,Sri Lanka adjusted note pp.3-4
W,11,113,Sri Lanka adjusted note pp.3-4
W,12,117,Sri Lanka adjusted note pp.3-4
W,13,186,Sri Lanka adjusted note pp.3-4
W,14,309,Sri Lanka adjusted note pp.3-4
W,15,416,Sri Lanka adjusted note pp.3-4
W,16,482,Sri Lanka adjusted note pp.3-4
W,17,491,Sri Lanka adjusted note pp.3-4
W,18,403,Sri Lanka adjusted note pp.3-4
W,19,158,Sri Lanka adjusted note pp.3-4
W,20,110,Sri Lanka adjusted note pp.3-4
W,21,88,Sri Lanka adjusted note pp.3-4
W,22,76,Sri Lanka adjusted note pp.3-4
W,23,66,Sri Lanka adjusted note pp.3-4
W,24,60,Sri Lanka adjusted note pp.3-4
NW,1,45.6,Sri Lanka adjusted note pp.3-4
NW,2,42,Sri Lanka adjusted note pp.3-4
NW,3,38.4,Sri Lanka adjusted note pp.3-4
NW,4,33.6,Sri Lanka adjusted note pp.3-4
NW,5,30,Sri Lanka adjusted note pp.3-4
NW,6,52.8,Sri Lanka adjusted note pp.3-4
NW,7,75.6,Sri Lanka adjusted note pp.3-4
NW,8,94.8,Sri Lanka adjusted note pp.3-4
NW,9,109.2,Sri Lanka adjusted note pp.3-4
NW,10,121.2,Sri Lanka adjusted note pp.3-4
NW,11,128.4,Sri Lanka adjusted note pp.3-4
NW,12,135.6,Sri Lanka adjusted note pp.3-4
NW,13,135.6,Sri Lanka adjusted note pp.3-4
NW,14,166.8,Sri Lanka adjusted note pp.3-4
NW,15,276,Sri Lanka adjusted note pp.3-4
NW,16,385.2,Sri Lanka adjusted note pp.3-4
NW,17,446.4,Sri Lanka adjusted note pp.3-4
NW,18,404.4,Sri Lanka adjusted note pp.3-4
NW,19,147.6,Sri Lanka adjusted note pp.3-4
NW,20,98.4,Sri Lanka adjusted note pp.3-4
NW,21,79.2,Sri Lanka adjusted note pp.3-4
