profile_code,orientation,hour,cltd_k,source,note
SL-8N-DEFAULT,N,1,12.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,2,10.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,3,9.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,4,8.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,5,7.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,6,6.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,7,6.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,8,7.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,9,8.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,10,9.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,11,10.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,12,12.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,13,13.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,14,15.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,15,17.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,16,18.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,17,19.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,18,20.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,19,21.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,20,21.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,21,20.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,22,18.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,23,17.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,N,24,14.1,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,1,9.322222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,2,7.322222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,3,6.322222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,4,5.322222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,5,4.322222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,6,3.322222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,7,3.322222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,8,5.322222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,9,10.32222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,10,15.32222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,11,19.32222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,12,21.32222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,13,21.32222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,14,21.32222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,15,20.32222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,16,20.32222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,17,20.32222,Sri Lanka adjusted note p.2,
SL-8N-DEFAULT,NE,18,19.32222,Sri Lanka adjusted note p.2,
